r11,r12,r13,r21,r22,r23,r31,r32,r33,c11,c12,c13,c21,c22,c23,c31,c32,c33
30.0,60.0,90.0,80.0,20.0,90.0,70.0,20.0,50.0,80.0,80.0,50.0,90.0,30.0,20.0,40.0,40.0,40.0
53.0,100.0,100.0,100.0,60.0,50.0,100.0,40.0,100.0,53.0,100.0,100.0,100.0,60.0,40.0,100.0,50.0,100.0
10.0,100.0,40.0,0.0,70.0,50.0,20.0,50.0,60.0,10.0,0.0,20.0,100.0,70.0,50.0,40.0,50.0,60.0
60.0,100.0,41.0,25.0,95.0,70.0,10.0,100.0,53.0,60.0,25.0,10.0,100.0,95.0,100.0,41.0,70.0,53.0
30.0,50.0,100.0,40.0,45.0,10.0,35.0,60.0,0.0,30.0,40.0,35.0,50.0,45.0,60.0,100.0,10.0,0.0
100.0,20.0,50.0,45.0,30.0,1.0,55.0,100.0,20.0,100.0,45.0,55.0,20.0,30.0,100.0,50.0,1.0,20.0
30.0,90.0,50.0,70.0,80.0,90.0,10.0,30.0,30.0,70.0,70.0,20.0,40.0,40.0,10.0,60.0,20.0,70.0
40.0,15.0,70.0,22.0,80.0,0.0,30.0,100.0,55.0,40.0,22.0,30.0,15.0,80.0,100.0,70.0,0.0,55.0
10.0,100.0,40.0,50.0,80.0,30.0,33.0,75.0,35.0,10.0,50.0,33.0,100.0,80.0,75.0,40.0,30.0,35.0
50.0,50.0,60.0,40.0,20.0,70.0,80.0,60.0,30.0,70.0,60.0,30.0,70.0,20.0,60.0,60.0,20.0,20.0
20.0,20.0,90.0,10.0,40.0,20.0,50.0,20.0,10.0,60.0,20.0,20.0,10.0,50.0,70.0,50.0,10.0,40.0
40.0,70.0,70.0,30.0,40.0,80.0,70.0,40.0,60.0,60.0,10.0,90.0,70.0,50.0,80.0,30.0,30.0,10.0
30.0,40.0,50.0,50.0,40.0,40.0,90.0,20.0,70.0,10.0,10.0,10.0,30.0,40.0,90.0,20.0,70.0,10.0
80.0,30.0,10.0,20.0,70.0,10.0,20.0,50.0,40.0,90.0,10.0,80.0,90.0,60.0,40.0,40.0,10.0,30.0
25.0,30.0,100.0,60.0,31.0,51.0,95.0,30.0,0.0,25.0,60.0,95.0,30.0,31.0,30.0,100.0,51.0,0.0
50.0,0.0,0.0,70.0,35.0,35.0,0.0,25.0,55.0,50.0,70.0,0.0,0.0,35.0,25.0,0.0,35.0,55.0
40.0,100.0,20.0,95.0,30.0,38.0,25.0,50.0,35.0,40.0,95.0,25.0,100.0,30.0,50.0,20.0,38.0,35.0
80.0,50.0,5.0,30.0,50.0,58.0,60.0,40.0,43.0,80.0,30.0,60.0,50.0,50.0,40.0,5.0,58.0,43.0
70.0,90.0,60.0,40.0,30.0,50.0,70.0,50.0,90.0,20.0,30.0,60.0,30.0,50.0,70.0,70.0,90.0,50.0
70.0,40.0,80.0,80.0,50.0,50.0,10.0,20.0,30.0,30.0,20.0,60.0,90.0,60.0,80.0,40.0,10.0,70.0
40.0,60.0,10.0,10.0,10.0,60.0,40.0,40.0,40.0,40.0,10.0,40.0,60.0,10.0,40.0,10.0,60.0,40.0
60.0,43.0,55.0,10.0,100.0,1.0,60.0,40.0,35.0,60.0,10.0,60.0,43.0,100.0,40.0,55.0,1.0,35.0
70.0,35.0,60.0,51.0,70.0,47.0,10.0,40.0,82.0,70.0,51.0,10.0,35.0,70.0,40.0,60.0,47.0,82.0
80.0,30.0,70.0,70.0,90.0,70.0,80.0,10.0,70.0,50.0,30.0,20.0,20.0,60.0,90.0,50.0,50.0,20.0
100.0,5.0,50.0,100.0,20.0,25.0,48.0,22.0,33.0,100.0,100.0,48.0,5.0,20.0,22.0,50.0,25.0,33.0
100.0,30.0,10.0,70.0,5.0,53.0,75.0,43.0,31.0,100.0,70.0,75.0,30.0,5.0,43.0,10.0,53.0,31.0
35.0,80.0,70.0,70.0,70.0,43.0,90.0,10.0,53.0,35.0,70.0,90.0,80.0,70.0,10.0,70.0,43.0,53.0
11.0,59.0,51.0,91.0,27.0,51.0,51.0,43.0,53.0,11.0,91.0,51.0,59.0,27.0,43.0,51.0,51.0,53.0
70.0,90.0,38.0,100.0,0.0,40.0,88.0,48.0,43.0,70.0,100.0,88.0,90.0,0.0,48.0,38.0,40.0,43.0
50.0,40.0,80.0,40.0,50.0,20.0,50.0,80.0,30.0,40.0,20.0,70.0,50.0,10.0,80.0,10.0,10.0,30.0
100.0,41.0,70.0,100.0,90.0,40.0,30.0,1.0,25.0,100.0,100.0,30.0,41.0,90.0,1.0,70.0,40.0,25.0
30.0,0.0,100.0,40.0,40.0,80.0,50.0,20.0,40.0,30.0,40.0,50.0,0.0,40.0,20.0,100.0,80.0,40.0
20.0,90.0,80.0,40.0,30.0,60.0,60.0,70.0,20.0,40.0,90.0,10.0,90.0,60.0,10.0,50.0,30.0,60.0
30.0,40.0,100.0,40.0,35.0,1.0,10.0,45.0,100.0,30.0,40.0,10.0,40.0,35.0,45.0,100.0,1.0,100.0
80.0,60.0,50.0,60.0,70.0,90.0,0.0,0.0,100.0,80.0,60.0,0.0,60.0,70.0,0.0,50.0,90.0,100.0
100.0,30.0,40.0,60.0,40.0,50.0,70.0,50.0,55.0,100.0,60.0,70.0,30.0,40.0,50.0,40.0,50.0,55.0
10.0,90.0,70.0,90.0,80.0,30.0,50.0,20.0,60.0,50.0,40.0,60.0,50.0,10.0,60.0,10.0,60.0,10.0
20.0,80.0,100.0,30.0,80.0,70.0,70.0,100.0,40.0,20.0,30.0,70.0,80.0,80.0,100.0,100.0,70.0,40.0
45.0,95.0,1.0,53.0,30.0,40.0,60.0,10.0,43.0,45.0,53.0,60.0,95.0,30.0,10.0,1.0,40.0,43.0
44.0,11.0,60.0,45.0,39.0,50.0,20.0,25.0,60.0,44.0,45.0,20.0,11.0,39.0,25.0,60.0,50.0,60.0
60.0,43.0,50.0,30.0,70.0,30.0,43.0,25.0,80.0,60.0,30.0,43.0,43.0,70.0,25.0,50.0,30.0,80.0
30.0,70.0,30.0,30.0,50.0,60.0,90.0,50.0,70.0,20.0,90.0,30.0,20.0,80.0,10.0,70.0,60.0,10.0
80.0,50.0,10.0,20.0,40.0,30.0,20.0,80.0,70.0,20.0,80.0,70.0,90.0,10.0,90.0,80.0,40.0,80.0
40.0,40.0,60.0,80.0,40.0,80.0,50.0,40.0,30.0,70.0,50.0,30.0,70.0,80.0,80.0,60.0,20.0,50.0
30.0,50.0,100.0,40.0,45.0,10.0,35.0,60.0,0.0,30.0,40.0,35.0,50.0,45.0,60.0,100.0,10.0,0.0
75.0,40.0,45.0,70.0,15.0,100.0,70.0,60.0,0.0,75.0,70.0,70.0,40.0,15.0,60.0,45.0,100.0,0.0
90.0,20.0,60.0,90.0,60.0,60.0,60.0,40.0,70.0,60.0,20.0,60.0,30.0,60.0,50.0,60.0,60.0,50.0
40.0,10.0,70.0,20.0,80.0,0.0,30.0,100.0,60.0,40.0,20.0,30.0,10.0,80.0,100.0,70.0,0.0,60.0
10.0,50.0,60.0,70.0,30.0,60.0,20.0,50.0,70.0,80.0,30.0,30.0,60.0,70.0,10.0,20.0,90.0,40.0
50.0,10.0,20.0,90.0,80.0,20.0,80.0,50.0,80.0,20.0,50.0,90.0,60.0,70.0,40.0,50.0,30.0,70.0
20.0,30.0,100.0,40.0,40.0,60.0,30.0,0.0,40.0,20.0,40.0,30.0,30.0,40.0,0.0,100.0,60.0,40.0
60.0,40.0,40.0,60.0,50.0,80.0,80.0,20.0,10.0,20.0,20.0,20.0,50.0,90.0,70.0,90.0,40.0,20.0
30.0,30.0,40.0,60.0,70.0,10.0,80.0,80.0,70.0,20.0,80.0,70.0,60.0,40.0,80.0,10.0,70.0,10.0
70.0,30.0,20.0,60.0,60.0,30.0,45.0,45.0,40.0,70.0,60.0,45.0,30.0,60.0,45.0,20.0,30.0,40.0
98.0,30.0,5.0,56.0,30.0,30.0,50.0,40.0,45.0,98.0,56.0,50.0,30.0,30.0,40.0,5.0,30.0,45.0
30.0,40.0,20.0,70.0,30.0,20.0,10.0,40.0,60.0,30.0,30.0,70.0,60.0,50.0,20.0,10.0,50.0,70.0
60.0,60.0,80.0,20.0,20.0,60.0,50.0,20.0,40.0,80.0,50.0,20.0,20.0,80.0,90.0,80.0,30.0,20.0
10.0,70.0,40.0,100.0,30.0,31.0,100.0,50.0,18.0,10.0,100.0,100.0,70.0,30.0,50.0,40.0,31.0,18.0
45.0,80.0,60.0,20.0,85.0,45.0,95.0,1.0,31.0,45.0,20.0,95.0,80.0,85.0,1.0,60.0,45.0,31.0
10.0,100.0,10.0,0.0,0.0,0.0,5.0,5.0,90.0,10.0,0.0,5.0,100.0,0.0,5.0,10.0,0.0,90.0
80.0,70.0,80.0,50.0,80.0,50.0,30.0,30.0,10.0,30.0,90.0,30.0,40.0,10.0,70.0,60.0,30.0,50.0
80.0,20.0,20.0,70.0,40.0,70.0,30.0,20.0,30.0,90.0,70.0,50.0,90.0,50.0,90.0,20.0,80.0,90.0
40.0,20.0,10.0,60.0,20.0,90.0,40.0,90.0,60.0,60.0,30.0,20.0,30.0,50.0,60.0,70.0,40.0,50.0
80.0,90.0,20.0,40.0,50.0,80.0,80.0,80.0,30.0,50.0,10.0,60.0,50.0,10.0,10.0,80.0,20.0,70.0
60.0,100.0,50.0,40.0,30.0,95.0,11.0,90.0,90.0,60.0,40.0,11.0,100.0,30.0,90.0,50.0,95.0,90.0
90.0,70.0,80.0,90.0,10.0,60.0,60.0,10.0,60.0,90.0,10.0,60.0,40.0,80.0,10.0,50.0,20.0,10.0
40.0,93.0,1.0,55.0,35.0,30.0,10.0,60.0,70.0,40.0,55.0,10.0,93.0,35.0,60.0,1.0,30.0,70.0
40.0,48.0,40.0,43.0,100.0,18.0,29.0,90.0,56.0,40.0,43.0,29.0,48.0,100.0,90.0,40.0,18.0,56.0
70.0,80.0,20.0,80.0,80.0,20.0,80.0,10.0,80.0,50.0,40.0,30.0,50.0,40.0,20.0,10.0,30.0,50.0
51.0,100.0,30.0,50.0,100.0,15.0,1.0,80.0,82.0,51.0,50.0,1.0,100.0,100.0,80.0,30.0,15.0,82.0
50.0,0.0,0.0,0.0,55.0,25.0,100.0,35.0,35.0,50.0,0.0,100.0,0.0,55.0,35.0,0.0,25.0,35.0
25.0,90.0,43.0,30.0,100.0,45.0,40.0,35.0,100.0,25.0,30.0,40.0,90.0,100.0,35.0,43.0,45.0,100.0
40.0,80.0,50.0,80.0,80.0,90.0,70.0,60.0,40.0,80.0,80.0,80.0,10.0,60.0,70.0,70.0,30.0,70.0
0.0,0.0,38.0,55.0,25.0,40.0,35.0,35.0,43.0,0.0,55.0,35.0,0.0,25.0,35.0,38.0,40.0,43.0
93.0,60.0,60.0,100.0,70.0,5.0,70.0,100.0,20.0,93.0,100.0,70.0,60.0,70.0,100.0,60.0,5.0,20.0
35.0,43.0,20.0,51.0,10.0,70.0,30.0,98.0,20.0,35.0,51.0,30.0,43.0,10.0,98.0,20.0,70.0,20.0
100.0,5.0,22.0,90.0,100.0,20.0,100.0,60.0,51.0,100.0,90.0,100.0,5.0,100.0,60.0,22.0,20.0,51.0
30.0,50.0,100.0,40.0,45.0,10.0,35.0,60.0,0.0,30.0,40.0,35.0,50.0,45.0,60.0,100.0,10.0,0.0
10.0,70.0,90.0,70.0,90.0,40.0,80.0,30.0,90.0,50.0,70.0,80.0,70.0,80.0,90.0,90.0,90.0,60.0
45.0,50.0,21.0,41.0,0.0,40.0,40.0,100.0,0.0,45.0,41.0,40.0,50.0,0.0,100.0,21.0,40.0,0.0
80.0,80.0,90.0,90.0,90.0,50.0,60.0,80.0,70.0,80.0,70.0,60.0,90.0,90.0,60.0,30.0,50.0,20.0
60.0,70.0,50.0,20.0,90.0,10.0,50.0,60.0,40.0,80.0,20.0,50.0,40.0,90.0,90.0,70.0,40.0,70.0
50.0,90.0,50.0,60.0,60.0,80.0,80.0,40.0,40.0,70.0,70.0,10.0,60.0,60.0,60.0,90.0,40.0,10.0
10.0,50.0,40.0,80.0,30.0,70.0,50.0,80.0,30.0,50.0,80.0,10.0,90.0,10.0,30.0,20.0,50.0,40.0
40.0,90.0,60.0,50.0,90.0,50.0,60.0,40.0,70.0,70.0,60.0,30.0,20.0,20.0,20.0,70.0,10.0,50.0
100.0,80.0,10.0,40.0,90.0,100.0,60.0,60.0,100.0,100.0,40.0,60.0,80.0,90.0,60.0,10.0,100.0,100.0
50.0,60.0,90.0,60.0,20.0,10.0,50.0,60.0,40.0,30.0,90.0,90.0,20.0,50.0,60.0,70.0,80.0,10.0
30.0,70.0,90.0,60.0,10.0,40.0,20.0,80.0,60.0,10.0,50.0,20.0,70.0,20.0,60.0,80.0,60.0,70.0
80.0,40.0,30.0,60.0,40.0,60.0,35.0,100.0,20.0,80.0,60.0,35.0,40.0,40.0,100.0,30.0,60.0,20.0
30.0,100.0,22.0,35.0,0.0,45.0,51.0,50.0,20.0,30.0,35.0,51.0,100.0,0.0,50.0,22.0,45.0,20.0
10.0,80.0,80.0,80.0,90.0,70.0,10.0,20.0,70.0,50.0,10.0,60.0,80.0,20.0,90.0,30.0,40.0,30.0
10.0,50.0,90.0,70.0,30.0,60.0,60.0,90.0,20.0,90.0,20.0,80.0,70.0,40.0,10.0,70.0,50.0,40.0
60.0,100.0,20.0,60.0,73.0,25.0,70.0,50.0,30.0,60.0,60.0,70.0,100.0,73.0,50.0,20.0,25.0,30.0
25.0,30.0,100.0,40.0,45.0,65.0,31.0,0.0,40.0,25.0,40.0,31.0,30.0,45.0,0.0,100.0,65.0,40.0
10.0,50.0,20.0,40.0,20.0,40.0,50.0,40.0,60.0,50.0,10.0,50.0,30.0,10.0,10.0,90.0,40.0,90.0
60.0,90.0,10.0,70.0,30.0,10.0,80.0,50.0,90.0,70.0,60.0,30.0,10.0,40.0,30.0,20.0,10.0,10.0
47.0,35.0,100.0,20.0,30.0,35.0,1.0,70.0,100.0,47.0,20.0,1.0,35.0,30.0,70.0,100.0,35.0,100.0
50.0,10.0,65.0,80.0,31.0,35.0,20.0,15.0,90.0,50.0,80.0,20.0,10.0,31.0,15.0,65.0,35.0,90.0
28.0,30.0,60.0,21.0,36.0,100.0,30.0,75.0,45.0,28.0,21.0,30.0,30.0,36.0,75.0,60.0,100.0,45.0
100.0,40.0,10.0,70.0,90.0,20.0,45.0,20.0,60.0,100.0,70.0,45.0,40.0,90.0,20.0,10.0,20.0,60.0
50.0,80.0,30.0,100.0,10.0,65.0,35.0,50.0,100.0,50.0,100.0,35.0,80.0,10.0,50.0,30.0,65.0,100.0
60.0,70.0,50.0,70.0,50.0,10.0,60.0,10.0,90.0,10.0,60.0,70.0,90.0,30.0,30.0,20.0,80.0,90.0
10.0,70.0,60.0,50.0,60.0,55.0,25.0,100.0,10.0,10.0,50.0,25.0,70.0,60.0,100.0,60.0,55.0,10.0
40.0,100.0,41.0,33.0,95.0,35.0,20.0,100.0,38.0,40.0,33.0,20.0,100.0,95.0,100.0,41.0,35.0,38.0
0.0,35.0,100.0,55.0,40.0,20.0,30.0,0.0,0.0,0.0,55.0,30.0,35.0,40.0,0.0,100.0,20.0,0.0
10.0,100.0,0.0,5.0,60.0,70.0,80.0,30.0,10.0,10.0,5.0,80.0,100.0,60.0,30.0,0.0,70.0,10.0
100.0,35.0,45.0,100.0,20.0,60.0,50.0,80.0,55.0,100.0,100.0,50.0,35.0,20.0,80.0,45.0,60.0,55.0
38.0,60.0,30.0,60.0,40.0,50.0,15.0,50.0,70.0,38.0,60.0,15.0,60.0,40.0,50.0,30.0,50.0,70.0
25.0,30.0,100.0,60.0,31.0,51.0,95.0,30.0,0.0,25.0,60.0,95.0,30.0,31.0,30.0,100.0,51.0,0.0
20.0,40.0,30.0,90.0,10.0,10.0,30.0,80.0,10.0,40.0,10.0,20.0,60.0,90.0,40.0,10.0,70.0,40.0
70.0,43.0,30.0,100.0,10.0,45.0,11.0,100.0,60.0,70.0,100.0,11.0,43.0,10.0,100.0,30.0,45.0,60.0
50.0,50.0,80.0,30.0,10.0,50.0,40.0,10.0,50.0,30.0,30.0,80.0,50.0,40.0,10.0,60.0,10.0,40.0
70.0,50.0,80.0,75.0,53.0,65.0,35.0,55.0,100.0,70.0,75.0,35.0,50.0,53.0,55.0,80.0,65.0,100.0
50.0,80.0,30.0,20.0,70.0,100.0,45.0,20.0,100.0,50.0,20.0,45.0,80.0,70.0,20.0,30.0,100.0,100.0
40.0,70.0,70.0,50.0,20.0,40.0,10.0,70.0,90.0,10.0,70.0,40.0,80.0,70.0,70.0,80.0,20.0,10.0
100.0,53.0,65.0,60.0,70.0,90.0,40.0,18.0,70.0,100.0,60.0,40.0,53.0,70.0,18.0,65.0,90.0,70.0
40.0,35.0,93.0,40.0,10.0,70.0,44.0,5.0,100.0,40.0,40.0,44.0,35.0,10.0,5.0,93.0,70.0,100.0
35.0,100.0,20.0,10.0,1.0,63.0,15.0,40.0,91.0,35.0,10.0,15.0,100.0,1.0,40.0,20.0,63.0,91.0
70.0,55.0,10.0,10.0,80.0,45.0,60.0,55.0,40.0,70.0,10.0,60.0,55.0,80.0,55.0,10.0,45.0,40.0
50.0,0.0,20.0,50.0,10.0,100.0,40.0,40.0,40.0,50.0,50.0,40.0,0.0,10.0,40.0,20.0,100.0,40.0
30.0,100.0,50.0,40.0,0.0,90.0,50.0,75.0,29.0,30.0,40.0,50.0,100.0,0.0,75.0,50.0,90.0,29.0
10.0,80.0,10.0,90.0,90.0,10.0,60.0,10.0,30.0,20.0,60.0,20.0,40.0,60.0,60.0,90.0,70.0,50.0
5.0,80.0,40.0,60.0,85.0,39.0,15.0,40.0,100.0,5.0,60.0,15.0,80.0,85.0,40.0,40.0,39.0,100.0
100.0,1.0,100.0,45.0,65.0,30.0,100.0,45.0,45.0,100.0,45.0,100.0,1.0,65.0,45.0,100.0,30.0,45.0
50.0,10.0,50.0,50.0,20.0,90.0,40.0,50.0,10.0,80.0,20.0,50.0,50.0,30.0,20.0,20.0,70.0,20.0
35.0,0.0,100.0,1.0,100.0,1.0,10.0,40.0,40.0,35.0,1.0,10.0,0.0,100.0,40.0,100.0,1.0,40.0
60.0,20.0,40.0,50.0,90.0,40.0,60.0,50.0,30.0,50.0,20.0,60.0,40.0,60.0,80.0,90.0,80.0,80.0
20.0,60.0,30.0,80.0,30.0,80.0,10.0,30.0,50.0,70.0,40.0,70.0,50.0,70.0,30.0,40.0,10.0,10.0
90.0,40.0,20.0,90.0,50.0,90.0,30.0,40.0,50.0,50.0,70.0,60.0,50.0,60.0,80.0,40.0,20.0,10.0
100.0,80.0,15.0,50.0,25.0,80.0,70.0,75.0,70.0,100.0,50.0,70.0,80.0,25.0,75.0,15.0,80.0,70.0
60.0,30.0,100.0,40.0,100.0,25.0,48.0,40.0,43.0,60.0,40.0,48.0,30.0,100.0,40.0,100.0,25.0,43.0
20.0,40.0,90.0,50.0,30.0,20.0,30.0,50.0,10.0,60.0,80.0,70.0,20.0,50.0,80.0,20.0,80.0,90.0
43.0,48.0,50.0,100.0,25.0,30.0,50.0,50.0,20.0,43.0,100.0,50.0,48.0,25.0,50.0,50.0,30.0,20.0
45.0,50.0,21.0,41.0,0.0,40.0,40.0,100.0,0.0,45.0,41.0,40.0,50.0,0.0,100.0,21.0,40.0,0.0
40.0,50.0,40.0,50.0,30.0,60.0,70.0,40.0,70.0,10.0,20.0,80.0,40.0,80.0,70.0,40.0,70.0,50.0
55.0,10.0,100.0,5.0,90.0,5.0,15.0,0.0,0.0,55.0,5.0,15.0,10.0,90.0,0.0,100.0,5.0,0.0
60.0,20.0,20.0,10.0,50.0,70.0,60.0,20.0,10.0,10.0,20.0,10.0,20.0,20.0,90.0,20.0,80.0,40.0
40.0,100.0,60.0,20.0,100.0,47.0,20.0,25.0,100.0,40.0,20.0,20.0,100.0,100.0,25.0,60.0,47.0,100.0
